mapreduce.job.ubertask.enable
dfs.replication
mapreduce.ifile.readahead
mapreduce.map.speculative
yarn.sharedcache.enabled
mapreduce.task.profile.reduces
yarn.resourcemanager.admin.client.thread-count
mapreduce.map.skip.proc.count.autoincr
mapreduce.output.fileoutputformat.compress
mapreduce.reduce.merge.inmem.threshold
yarn.nodemanager.windows-container.memory-limit.enabled
mapreduce.reduce.shuffle.parallelcopies
mapreduce.reduce.shuffle.merge.percent
mapreduce.reduce.shuffle.fetch.retry.interval-ms
mapreduce.job.speculative.minimum-allowed-tasks
io.file.buffer.size
yarn.app.mapreduce.am.resource.mb
yarn.scheduler.minimum-allocation-mb
io.seqfile.sorter.recordlimit
yarn.nodemanager.windows-container.cpu-limit.enabled
mapreduce.reduce.input.buffer.percent
yarn.app.mapreduce.am.job.task.listener.thread-count
ipc.maximum.data.length
mapreduce.job.max.split.locations
mapreduce.shuffle.max.threads
yarn.nodemanager.localizer.fetch.thread-count
mapreduce.job.speculative.speculative-cap-total-tasks
mapreduce.job.reduces
mapreduce.map.maxattempts
mapreduce.ifile.readahead.bytes
mapred.child.java.opts
yarn.app.mapreduce.am.containerlauncher.threadpool-initial-size
yarn.scheduler.maximum-allocation-vcores
mapreduce.job.reduce.slowstart.completedmaps
