yarn.resourcemanager.store.class
yarn.scheduler.maximum-allocation-mb
yarn.sharedcache.admin.thread-count
yarn.scheduler.maximum-allocation-vcores
mapreduce.job.ubertask.enable
yarn.scheduler.minimum-allocation-vcores
yarn.sharedcache.client-server.thread-count
yarn.resourcemanager.scheduler.client.thread-count
yarn.scheduler.minimum-allocation-mb
yarn.resourcemanager.scheduler.class
io.map.index.skip
yarn.resourcemanager.client.thread-count
yarn.sharedcache.enabled
yarn.nodemanager.windows-container.cpu-limit.enabled
io.map.index.interval
io.seqfile.compress.blocksize
io.seqfile.sorter.recordlimit
yarn.resourcemanager.resource-tracker.client.thread-count
mapreduce.ifile.readahead.bytes
mapreduce.job.running.reduce.limit
mapreduce.job.max.split.locations
mapred.child.java.opts
mapreduce.job.reduce.slowstart.completedmaps
mapreduce.input.lineinputformat.linespermap
mapreduce.job.running.map.limit
yarn.nodemanager.windows-container.memory-limit.enabled
mapreduce.job.counters.max
mapreduce.job.jvm.numtasks
yarn.resourcemanager.amlauncher.thread-count
mapreduce.ifile.readahead
mapreduce.job.speculative.minimum-allowed-tasks
mapreduce.input.fileinputformat.split.minsize
mapreduce.job.speculative.retry-after-no-speculate
yarn.resourcemanager.admin.client.thread-count
