Run,Top-1,Top-50,Baseline
0,-0.24931944444444443,-0.24931944444444443,0.0
1,-0.49863888888888885,-0.49863888888888885,0.0
2,-0.7479583333333333,-0.7479583333333333,0.0
3,-0.9972777777777777,-0.9972777777777777,0.0
4,-1.2465972222222221,-1.2465972222222221,0.0
5,-1.4959166666666668,-1.4959166666666668,0.0
6,-1.7452361111111112,-1.7452361111111112,0.0
7,-1.9945555555555556,-1.9945555555555556,0.0
8,-2.243875,-2.243875,0.0
9,-2.4931944444444443,-2.4931944444444443,0.0
10,-2.7425138888888885,-2.7425138888888885,0.0
11,-2.991833333333333,-2.991833333333333,0.0
12,-3.2411527777777773,-3.2411527777777773,0.0
13,-3.4904722222222215,-3.4904722222222215,0.0
14,-3.7397916666666657,-3.7397916666666657,0.0
15,-3.98911111111111,-3.98911111111111,0.0
16,-4.238430555555554,-4.238430555555554,0.0
17,-4.487749999999998,-4.487749999999998,0.0
18,-4.737069444444443,-4.737069444444443,0.0
19,-4.986388888888887,-4.986388888888887,0.0
20,-5.235708333333331,-5.235708333333331,0.0
21,-5.485027777777775,-5.485027777777775,0.0
22,-5.73434722222222,-5.73434722222222,0.0
23,-5.983666666666664,-5.983666666666664,0.0
24,-6.232986111111108,-6.232986111111108,0.0
25,-6.482305555555552,-6.482305555555552,0.0
26,-6.731624999999997,-6.731624999999997,0.0
27,-6.98094444444444,-6.98094444444444,0.0
28,-7.230263888888885,-7.230263888888885,0.0
29,-7.47958333333333,-7.47958333333333,0.0
30,-7.7289027777777735,-7.7289027777777735,0.0
31,-7.978222222222218,-7.978222222222218,0.0
32,-8.227541666666662,-8.227541666666662,0.0
33,-8.476861111111106,-8.476861111111106,0.0
34,-8.726180555555551,-8.726180555555551,0.0
35,-8.975499999999995,-8.975499999999995,0.0
36,-9.22481944444444,-9.22481944444444,0.0
37,-9.474138888888886,-9.474138888888886,0.0
38,-9.72345833333333,-9.72345833333333,0.0
39,-9.972777777777775,-9.972777777777775,0.0
40,-10.22209722222222,-10.22209722222222,0.0
41,-10.471416666666666,-10.471416666666666,0.0
42,-10.720736111111112,-10.720736111111112,0.0
43,-10.970055555555557,-10.970055555555557,0.0
44,-11.219375000000001,-11.219375000000001,0.0
45,-11.468694444444447,-11.468694444444447,0.0
46,-11.718013888888892,-11.718013888888892,0.0
47,-11.967333333333338,-11.967333333333338,0.0
48,-12.216652777777783,-12.216652777777783,0.0
49,-12.465972222222229,-12.465972222222229,0.0
50,-12.715291666666673,-12.715291666666673,0.0
51,-12.679902777777784,-12.964611111111118,0.0
52,-12.644513888888895,-13.213930555555564,0.0
53,-12.609125000000006,-13.46325000000001,0.0
54,-12.573736111111117,-13.712569444444455,0.0
55,-12.538347222222226,-13.9618888888889,0.0
56,-12.502958333333337,-14.211208333333346,0.0
57,-12.467569444444448,-14.46052777777779,0.0
58,-12.43218055555556,-14.709847222222235,0.0
59,-12.39679166666667,-14.95916666666668,0.0
60,-12.36140277777778,-15.208486111111126,0.0
61,-12.326013888888891,-15.457805555555572,0.0
62,-12.290625000000002,-15.707125000000017,0.0
63,-12.255236111111113,-15.956444444444461,0.0
64,-12.219847222222224,-16.205763888888907,0.0
65,-12.184458333333334,-16.455083333333352,0.0
66,-12.149069444444445,-16.704402777777798,0.0
67,-12.113680555555556,-16.953722222222243,0.0
68,-12.078291666666667,-17.20304166666669,0.0
69,-12.042902777777776,-17.452361111111134,0.0
70,-12.007513888888887,-17.70168055555558,0.0
71,-11.972124999999998,-17.951000000000025,0.0
72,-11.93673611111111,-18.200319444444467,0.0
73,-11.90134722222222,-18.449638888888913,0.0
74,-11.86595833333333,-18.69895833333336,0.0
75,-11.830569444444441,-18.948277777777804,0.0
76,-11.795180555555552,-19.19759722222225,0.0
77,-11.759791666666663,-19.446916666666695,0.0
78,-11.724402777777774,-19.696236111111137,0.0
79,-11.689013888888883,-19.945555555555583,0.0
80,-11.653624999999995,-20.194875000000028,0.0
81,-11.618236111111106,-20.444194444444474,0.0
82,-11.582847222222217,-20.69351388888892,0.0
83,-11.547458333333326,-20.942833333333365,0.0
84,-11.512069444444437,-21.19215277777781,0.0
85,-11.476680555555548,-21.441472222222256,0.0
86,-11.44129166666666,-21.6907916666667,0.0
87,-11.40590277777777,-21.940111111111147,0.0
88,-11.37051388888888,-22.189430555555592,0.0
89,-11.33512499999999,-22.438750000000038,0.0
90,-11.299736111111102,-22.68806944444448,0.0
91,-11.264347222222213,-22.937388888888925,0.0
92,-11.228958333333324,-23.18670833333337,0.0
93,-11.193569444444433,-23.436027777777817,0.0
94,-11.158180555555544,-23.685347222222262,0.0
95,-11.122791666666656,-23.934666666666708,0.0
96,-11.087402777777767,-24.183986111111153,0.0
97,-11.052013888888876,-24.4333055555556,0.0
98,-11.016624999999987,-24.682625000000044,0.0
99,-10.981236111111098,-24.93194444444449,0.0
100,-10.94584722222221,-25.181263888888935,0.0
101,-10.91045833333332,-25.08442592592597,0.0
102,-10.87506944444443,-24.98758796296301,0.0
103,-10.83968055555554,-24.890750000000043,0.0
104,-10.804291666666652,-24.79391203703708,0.0
105,-10.768902777777763,-24.697074074074116,0.0
106,-10.733513888888874,-24.600236111111155,0.0
107,-10.698124999999983,-24.50339814814819,0.0
108,-10.662736111111094,-24.406560185185228,0.0
109,-10.627347222222205,-24.309722222222263,0.0
110,-10.591958333333316,-24.212884259259297,0.0
111,-10.556569444444426,-24.116046296296336,0.0
112,-10.521180555555537,-24.01920833333337,0.0
113,-10.485791666666648,-23.92237037037041,0.0
114,-10.450402777777759,-23.825532407407444,0.0
115,-10.41501388888887,-23.728694444444482,0.0
116,-10.37962499999998,-23.631856481481517,0.0
117,-10.34423611111109,-23.535018518518555,0.0
118,-10.308847222222202,-23.43818055555559,0.0
119,-10.273458333333313,-23.34134259259263,0.0
120,-10.238069444444424,-23.244504629629663,0.0
121,-10.202680555555533,-23.1476666666667,0.0
122,-10.167291666666644,-23.050828703703736,0.0
123,-10.131902777777755,-22.953990740740775,0.0
124,-10.096513888888866,-22.85715277777781,0.0
125,-10.061124999999976,-22.760314814814848,0.0
126,-10.025736111111087,-22.663476851851883,0.0
127,-9.990347222222198,-22.56663888888892,0.0
128,-9.954958333333309,-22.469800925925956,0.0
129,-9.91956944444442,-22.372962962962994,0.0
130,-9.88418055555553,-22.27612500000003,0.0
131,-9.84879166666664,-22.179287037037067,0.0
132,-9.813402777777751,-22.082449074074102,0.0
133,-9.778013888888863,-21.98561111111114,0.0
134,-9.742624999999974,-21.888773148148175,0.0
135,-9.707236111111083,-21.79193518518521,0.0
136,-9.671847222222194,-21.69509722222225,0.0
137,-9.636458333333305,-21.598259259259283,0.0
138,-9.601069444444416,-21.50142129629632,0.0
139,-9.565680555555527,-21.404583333333356,0.0
140,-9.530291666666637,-21.307745370370395,0.0
141,-9.494902777777748,-21.21090740740743,0.0
142,-9.459513888888859,-21.114069444444468,0.0
143,-9.42412499999997,-21.017231481481502,0.0
144,-9.38873611111108,-20.92039351851854,0.0
145,-9.35334722222219,-20.823555555555576,0.0
146,-9.317958333333301,-20.726717592592614,0.0
147,-9.282569444444412,-20.62987962962965,0.0
148,-9.247180555555524,-20.533041666666687,0.0
149,-9.211791666666633,-20.436203703703722,0.0
150,-9.176402777777744,-20.33936574074076,0.0
151,-9.141013888888855,-20.242527777777795,0.0
152,-9.105624999999966,-20.145689814814833,0.0
153,-9.070236111111077,-20.048851851851868,0.0
154,-9.034847222222188,-19.952013888888906,0.0
155,-8.999458333333301,-19.85517592592594,0.0
156,-8.964069444444412,-19.75833796296298,0.0
157,-8.928680555555525,-19.661500000000014,0.0
158,-8.893291666666636,-19.564662037037053,0.0
159,-8.857902777777747,-19.467824074074088,0.0
160,-8.82251388888886,-19.370986111111122,0.0
161,-8.787124999999971,-19.27414814814816,0.0
162,-8.751736111111082,-19.177310185185195,0.0
163,-8.716347222222195,-19.080472222222234,0.0
164,-8.680958333333306,-18.98363425925927,0.0
165,-8.645569444444417,-18.886796296296307,0.0
166,-8.61018055555553,-18.78995833333334,0.0
167,-8.574791666666641,-18.69312037037038,0.0
168,-8.539402777777752,-18.596282407407415,0.0
169,-8.504013888888865,-18.499444444444453,0.0
170,-8.468624999999976,-18.402606481481488,0.0
171,-8.433236111111087,-18.305768518518526,0.0
172,-8.3978472222222,-18.20893055555556,0.0
173,-8.362458333333311,-18.1120925925926,0.0
174,-8.327069444444424,-18.015254629629634,0.0
175,-8.291680555555535,-17.918416666666673,0.0
176,-8.256291666666646,-17.821578703703707,0.0
177,-8.22090277777776,-17.724740740740746,0.0
178,-8.18551388888887,-17.62790277777778,0.0
179,-8.150124999999981,-17.53106481481482,0.0
180,-8.114736111111094,-17.434226851851854,0.0
181,-8.079347222222205,-17.337388888888892,0.0
182,-8.043958333333316,-17.240550925925927,0.0
183,-8.00856944444443,-17.143712962962965,0.0
184,-7.97318055555554,-17.046875,0.0
185,-7.937791666666652,-16.950037037037035,0.0
186,-7.902402777777764,-16.853199074074073,0.0
187,-7.867013888888875,-16.756361111111108,0.0
188,-7.831624999999987,-16.659523148148146,0.0
189,-7.796236111111099,-16.56268518518518,0.0
190,-7.7608472222222105,-16.46584722222222,0.0
191,-7.725458333333322,-16.369009259259254,0.0
192,-7.690069444444434,-16.272171296296293,0.0
193,-7.654680555555546,-16.175333333333327,0.0
194,-7.6192916666666575,-16.078495370370366,0.0
195,-7.583902777777769,-15.981657407407402,0.0
196,-7.548513888888881,-15.884819444444439,0.0
197,-7.5131249999999925,-15.787981481481474,0.0
198,-7.4777361111111045,-15.69114351851851,0.0
199,-7.4423472222222165,-15.594305555555547,0.0
200,-7.406958333333328,-15.497467592592583,0.0
201,-7.3715694444444395,-15.40062962962962,0.0
202,-7.3361805555555515,-15.303791666666656,0.0
203,-7.3007916666666635,-15.206953703703693,0.0
204,-7.2654027777777745,-15.11011574074073,0.0
205,-7.2300138888888865,-15.013277777777766,0.0
206,-7.1946249999999985,-14.916439814814803,0.0
207,-7.1592361111111105,-14.81960185185184,0.0
208,-7.1238472222222216,-14.722763888888876,0.0
209,-7.0884583333333335,-14.625925925925912,0.0
210,-7.0530694444444455,-14.529087962962949,0.0
211,-7.017680555555557,-14.432249999999986,0.0
212,-6.982291666666669,-14.335412037037022,0.0
213,-6.9469027777777805,-14.238574074074059,0.0
214,-6.9115138888888925,-14.141736111111095,0.0
215,-6.876125000000004,-14.044898148148132,0.0
216,-6.840736111111116,-13.948060185185168,0.0
217,-6.8053472222222275,-13.851222222222205,0.0
218,-6.769958333333339,-13.754384259259242,0.0
219,-6.734569444444451,-13.657546296296278,0.0
220,-6.699180555555563,-13.560708333333315,0.0
221,-6.6637916666666746,-13.463870370370351,0.0
222,-6.628402777777786,-13.367032407407386,0.0
223,-6.593013888888898,-13.270194444444423,0.0
224,-6.55762500000001,-13.17335648148146,0.0
225,-6.522236111111121,-13.076518518518496,0.0
226,-6.486847222222233,-12.979680555555532,0.0
227,-6.451458333333345,-12.882842592592569,0.0
228,-6.416069444444457,-12.786004629629605,0.0
229,-6.380680555555568,-12.689166666666642,0.0
230,-6.34529166666668,-12.592328703703679,0.0
231,-6.309902777777792,-12.495490740740715,0.0
232,-6.274513888888903,-12.398652777777752,0.0
233,-6.239125000000015,-12.301814814814788,0.0
234,-6.203736111111127,-12.204976851851825,0.0
235,-6.168347222222238,-12.108138888888861,0.0
236,-6.13295833333335,-12.011300925925898,0.0
237,-6.097569444444462,-11.914462962962935,0.0
238,-6.062180555555574,-11.817624999999971,0.0
239,-6.026791666666685,-11.720787037037008,0.0
240,-5.991402777777797,-11.623949074074044,0.0
241,-5.956013888888909,-11.52711111111108,0.0
242,-5.92062500000002,-11.430273148148117,0.0
243,-5.885236111111132,-11.333435185185154,0.0
244,-5.849847222222244,-11.23659722222219,0.0
245,-5.814458333333356,-11.139759259259227,0.0
246,-5.779069444444467,-11.042921296296264,0.0
247,-5.743680555555579,-10.946083333333299,0.0
248,-5.708291666666691,-10.849245370370335,0.0
249,-5.672902777777802,-10.752407407407372,0.0
250,-5.637513888888914,-10.655569444444408,0.0
251,-5.602125000000026,-10.558731481481445,0.0
252,-5.566736111111138,-10.461893518518481,0.0
253,-5.531347222222249,-10.365055555555518,0.0
254,-5.495958333333361,-10.268217592592555,0.0
255,-5.460569444444473,-10.171379629629591,0.0
256,-5.425180555555584,-10.074541666666628,0.0
257,-5.389791666666696,-9.977703703703664,0.0
258,-5.354402777777808,-9.8808657407407,0.0
259,-5.31901388888892,-9.784027777777737,0.0
260,-5.283625000000031,-9.687189814814774,0.0
261,-5.248236111111143,-9.59035185185181,0.0
262,-5.212847222222255,-9.493513888888847,0.0
263,-5.177458333333366,-9.396675925925884,0.0
264,-5.142069444444478,-9.29983796296292,0.0
265,-5.10668055555559,-9.202999999999957,0.0
266,-5.071291666666702,-9.106162037036993,0.0
267,-5.035902777777813,-9.00932407407403,0.0
268,-5.000513888888925,-8.912486111111068,0.0
269,-4.965125000000037,-8.815648148148105,0.0
270,-4.929736111111148,-8.718810185185143,0.0
